unemployment,violent_total
11.158,602.2
10.558,596.9
9.217,560.5
7.633,508.5
6.45,497.7
3.258,186.2
3.3,189.1
3.083,163.5
3.375,159.1
4.792,126.8
4.967,104.8
5.475,99
5.233,120
4.383,147.5
4.85,136.6
4.6,124.7
4.225,119.7
4.117,113.7
4.008,135.5
3.775,162.8
3.5,182.2
3.308,194.5
3.375,208.4
3.25,227.6
3.058,207.5
3.15,177.2
2.942,197.4
2.792,154.3
2.725,167.4
2.458,166.8
3.092,154.4
3.183,177.5
3.533,173.7
3.725,171.2
3.817,179
3.108,264.9
2.842,241.9
3.05,276.9
4.925,218.7
4.983,268.9
4.742,255.6
4.275,323.8
3.792,323.2
3.433,326.5
6.1,393.3
6.25,389.5
5.808,382.6
5.833,414
7.425,458.1
8.958,412.6
11.725,421.1
11.55,402
8.567,445.4
7.95,474.4
7.908,539.6
6.617,533.5
5.817,532.7
5.067,548.9
5.342,670.4
6.742,725.9
6.5,746.2
5.808,765.8
4.867,747.9
5.15,771.5
5.167,774
5.275,789.7
4.3,715
3.967,695
3.867,707.2
4.55,744
5.183,717.8
5.633,691.3
5.333,697.6
5.55,757
5.2,762.5
4.675,755
6.575,722.7
10.483,666
9.675,612
8.992,607.8
7.842,638.5
7.783,585.8
6.583,608.4
5.758,355.7
5.333,407.7
4.825,435.3
4.308,507.9
5.142,550.3
5.292,532.4
6.875,577.1
7.917,512.2
6.125,505
7.033,550
8.75,658.9
8.442,631.1
7.358,652.6
6.658,658.5
6.333,761.4
6.908,840.1
7.633,806.3
7.158,762.1
6.492,706.5
6.067,663.9
5.708,644.4
5.308,602.5
4.883,564.6
4.667,560.3
4.292,545.1
4.942,571.6
6.342,579.7
6.683,553.1
5.942,540.9
5.408,528
4.892,517.3
4.292,510.4
4.808,508
7.558,491
8.15,448.4
7.758,408.6
6.725,408.6
6.283,410.3
5.1,405.9
5.617,220.6
5.15,240
3.808,271.8
4.317,304.2
6.183,303.3
6.567,298.6
8.192,285.7
8.733,256
6.483,244.2
6.033,267.4
6.083,266.7
6.225,229.8
4.975,243.1
4.55,258.8
4.417,283.9
4.7,286.8
4.858,290.5
4.058,301
3.8,304.5
3.517,328.8
3.383,331.9
3.183,334
3.65,279.5
3.542,275.6
3.342,255.7
4.417,233.2
5.8,236.7
5.633,250.4
4.992,233.3
4.092,225
2.975,226.3
2.567,239.9
3.592,225.3
7.325,215.4
7.833,213.5
6.733,197.1
5.408,208
4.583,228.9
3.817,215.6
8.358,118.3
7.017,149.5
5.625,166.3
5.167,184.2
6.208,178.8
5.808,128
6.983,126.9
6.425,132.6
5.092,145.1
4.792,147.7
4.292,149.2
3.575,136.5
2.992,142.3
3.542,132.8
5.008,127.2
6.583,116.8
6.108,109.5
5.167,114.2
4.567,96.9
4.3,118.3
4.317,121.2
3.908,119.7
3.392,106.3
2.95,113.9
2.808,113.5
3.333,105.1
3.992,106.7
4.267,114.2
3.675,114.8
3.475,126
3.683,145.1
4.008,129.1
4.683,137.5
6.592,134.6
6.092,131
5.475,147.6
4.95,142.3
4.408,123.6
